f0_Hz,L_m,mu_kg_m,T_N,fuente
328,0.652,0.00039,71.65,paso2_Tcat
349,0.632,0.00039,71.65,paso2_Tcat
349,0.597,0.00039,71.65,paso2_Tcat
392,0.563,0.00039,71.65,paso2_Tcat
414,0.532,0.00039,71.65,paso2_Tcat
439,0.502,0.00039,71.65,paso2_Tcat
466,0.467,0.00039,71.65,paso2_Tcat
467,0.447,0.00039,71.65,paso2_Tcat
525,0.422,0.00039,71.65,paso2_Tcat
557,0.397,0.00039,71.65,paso2_Tcat
591,0.374,0.00039,71.65,paso2_Tcat
628,0.354,0.00039,71.65,paso2_Tcat
664,0.334,0.00039,71.65,paso2_Tcat
705,0.314,0.00039,71.65,paso2_Tcat
748,0.297,0.00039,71.65,paso2_Tcat
793,0.281,0.00039,71.65,paso2_Tcat
838,0.264,0.00039,71.65,paso2_Tcat
891,0.249,0.00039,71.65,paso2_Tcat
941,0.235,0.00039,71.65,paso2_Tcat
999,0.224,0.00039,71.65,paso2_Tcat
247,0.652,0.000705,68.54,paso2_Tcat
264,0.632,0.000705,68.54,paso2_Tcat
264,0.597,0.000705,68.54,paso2_Tcat
296,0.563,0.000705,68.54,paso2_Tcat
314,0.532,0.000705,68.54,paso2_Tcat
332,0.502,0.000705,68.54,paso2_Tcat
352,0.467,0.000705,68.54,paso2_Tcat
373,0.447,0.000705,68.54,paso2_Tcat
395,0.422,0.000705,68.54,paso2_Tcat
420,0.397,0.000705,68.54,paso2_Tcat
445,0.374,0.000705,68.54,paso2_Tcat
474,0.354,0.000705,68.54,paso2_Tcat
501,0.334,0.000705,68.54,paso2_Tcat
531,0.314,0.000705,68.54,paso2_Tcat
564,0.297,0.000705,68.54,paso2_Tcat
598,0.281,0.000705,68.54,paso2_Tcat
635,0.264,0.000705,68.54,paso2_Tcat
672,0.249,0.000705,68.54,paso2_Tcat
713,0.235,0.000705,68.54,paso2_Tcat
751,0.224,0.000705,68.54,paso2_Tcat
196,0.652,0.00159,73.87,paso2_Tcat
208,0.632,0.00159,73.87,paso2_Tcat
208,0.597,0.00159,73.87,paso2_Tcat
235,0.563,0.00159,73.87,paso2_Tcat
249,0.532,0.00159,73.87,paso2_Tcat
263,0.502,0.00159,73.87,paso2_Tcat
279,0.467,0.00159,73.87,paso2_Tcat
296,0.447,0.00159,73.87,paso2_Tcat
314,0.422,0.00159,73.87,paso2_Tcat
332,0.397,0.00159,73.87,paso2_Tcat
352,0.374,0.00159,73.87,paso2_Tcat
373,0.354,0.00159,73.87,paso2_Tcat
396,0.334,0.00159,73.87,paso2_Tcat
445,0.297,0.00159,73.87,paso2_Tcat
472,0.281,0.00159,73.87,paso2_Tcat
501,0.264,0.00159,73.87,paso2_Tcat
531,0.249,0.00159,73.87,paso2_Tcat
565,0.235,0.00159,73.87,paso2_Tcat
596,0.224,0.00159,73.87,paso2_Tcat
146,0.652,0.00284,81.42,paso2_Tcat
155,0.632,0.00284,81.42,paso2_Tcat
164,0.597,0.00284,81.42,paso2_Tcat
174,0.563,0.00284,81.42,paso2_Tcat
184,0.532,0.00284,81.42,paso2_Tcat
194,0.502,0.00284,81.42,paso2_Tcat
218,0.447,0.00284,81.42,paso2_Tcat
233,0.422,0.00284,81.42,paso2_Tcat
247,0.397,0.00284,81.42,paso2_Tcat
262,0.374,0.00284,81.42,paso2_Tcat
279,0.354,0.00284,81.42,paso2_Tcat
294,0.334,0.00284,81.42,paso2_Tcat
313,0.314,0.00284,81.42,paso2_Tcat
331,0.297,0.00284,81.42,paso2_Tcat
351,0.281,0.00284,81.42,paso2_Tcat
371,0.264,0.00284,81.42,paso2_Tcat
394,0.249,0.00284,81.42,paso2_Tcat
444,0.224,0.00284,81.42,paso2_Tcat
109,0.652,0.00498,90.3,paso2_Tcat
117,0.632,0.00498,90.3,paso2_Tcat
