cuerda,nombre,traste,f0_Hz,mu_kg_m
1,"C1 E4 .012""",0,328,0.00039
1,"C1 E4 .012""",1,349,0.00039
1,"C1 E4 .012""",2,349,0.00039
1,"C1 E4 .012""",3,392,0.00039
1,"C1 E4 .012""",4,414,0.00039
1,"C1 E4 .012""",5,439,0.00039
1,"C1 E4 .012""",6,466,0.00039
1,"C1 E4 .012""",7,467,0.00039
1,"C1 E4 .012""",8,525,0.00039
1,"C1 E4 .012""",9,557,0.00039
1,"C1 E4 .012""",10,591,0.00039
1,"C1 E4 .012""",11,628,0.00039
1,"C1 E4 .012""",12,664,0.00039
1,"C1 E4 .012""",13,705,0.00039
1,"C1 E4 .012""",14,748,0.00039
1,"C1 E4 .012""",15,793,0.00039
1,"C1 E4 .012""",16,838,0.00039
1,"C1 E4 .012""",17,891,0.00039
1,"C1 E4 .012""",18,941,0.00039
1,"C1 E4 .012""",19,999,0.00039
2,"C2 B3 .016""",0,247,0.000705
2,"C2 B3 .016""",1,264,0.000705
2,"C2 B3 .016""",2,264,0.000705
2,"C2 B3 .016""",3,296,0.000705
2,"C2 B3 .016""",4,314,0.000705
2,"C2 B3 .016""",5,332,0.000705
2,"C2 B3 .016""",6,352,0.000705
2,"C2 B3 .016""",7,373,0.000705
2,"C2 B3 .016""",8,395,0.000705
2,"C2 B3 .016""",9,420,0.000705
2,"C2 B3 .016""",10,445,0.000705
2,"C2 B3 .016""",11,474,0.000705
2,"C2 B3 .016""",12,501,0.000705
2,"C2 B3 .016""",13,531,0.000705
2,"C2 B3 .016""",14,564,0.000705
2,"C2 B3 .016""",15,598,0.000705
2,"C2 B3 .016""",16,635,0.000705
2,"C2 B3 .016""",17,672,0.000705
2,"C2 B3 .016""",18,713,0.000705
2,"C2 B3 .016""",19,751,0.000705
3,C3 G3 .024w,0,196,0.00159
3,C3 G3 .024w,1,208,0.00159
3,C3 G3 .024w,2,208,0.00159
3,C3 G3 .024w,3,235,0.00159
3,C3 G3 .024w,4,249,0.00159
3,C3 G3 .024w,5,263,0.00159
3,C3 G3 .024w,6,279,0.00159
3,C3 G3 .024w,7,296,0.00159
3,C3 G3 .024w,8,314,0.00159
3,C3 G3 .024w,9,332,0.00159
3,C3 G3 .024w,10,352,0.00159
3,C3 G3 .024w,11,373,0.00159
3,C3 G3 .024w,12,396,0.00159
3,C3 G3 .024w,13,210,0.00159
3,C3 G3 .024w,14,445,0.00159
3,C3 G3 .024w,15,472,0.00159
3,C3 G3 .024w,16,501,0.00159
3,C3 G3 .024w,17,531,0.00159
3,C3 G3 .024w,18,565,0.00159
3,C3 G3 .024w,19,596,0.00159
4,C4 D3 .032w,0,146,0.00284
4,C4 D3 .032w,1,155,0.00284
4,C4 D3 .032w,2,164,0.00284
4,C4 D3 .032w,3,174,0.00284
4,C4 D3 .032w,4,184,0.00284
4,C4 D3 .032w,5,194,0.00284
4,C4 D3 .032w,6,415,0.00284
4,C4 D3 .032w,7,218,0.00284
4,C4 D3 .032w,8,233,0.00284
4,C4 D3 .032w,9,247,0.00284
4,C4 D3 .032w,10,262,0.00284
4,C4 D3 .032w,11,279,0.00284
4,C4 D3 .032w,12,294,0.00284
4,C4 D3 .032w,13,313,0.00284
4,C4 D3 .032w,14,331,0.00284
4,C4 D3 .032w,15,351,0.00284
4,C4 D3 .032w,16,371,0.00284
4,C4 D3 .032w,17,394,0.00284
4,C4 D3 .032w,18,209,0.00284
4,C4 D3 .032w,19,444,0.00284
5,C5 A2 .042w,0,109,0.00498
5,C5 A2 .042w,1,117,0.00498
5,C5 A2 .042w,2,123,0.00498
5,C5 A2 .042w,3,130,0.00498
5,C5 A2 .042w,4,138,0.00498
5,C5 A2 .042w,5,146,0.00498
5,C5 A2 .042w,6,155,0.00498
5,C5 A2 .042w,7,164,0.00498
5,C5 A2 .042w,8,174,0.00498
5,C5 A2 .042w,9,184,0.00498
5,C5 A2 .042w,10,197,0.00498
5,C5 A2 .042w,11,207,0.00498
5,C5 A2 .042w,12,222,0.00498
5,C5 A2 .042w,13,235,0.00498
5,C5 A2 .042w,14,249,0.00498
5,C5 A2 .042w,15,262,0.00498
5,C5 A2 .042w,16,279,0.00498
5,C5 A2 .042w,17,292,0.00498
5,C5 A2 .042w,18,313,0.00498
5,C5 A2 .042w,19,329,0.00498
6,C6 E2 .053w,0,82,0.00797
6,C6 E2 .053w,1,175,0.00797
6,C6 E2 .053w,2,185,0.00797
6,C6 E2 .053w,3,98,0.00797
6,C6 E2 .053w,4,104,0.00797
6,C6 E2 .053w,5,110,0.00797
6,C6 E2 .053w,6,117,0.00797
6,C6 E2 .053w,7,124,0.00797
6,C6 E2 .053w,8,131,0.00797
6,C6 E2 .053w,9,139,0.00797
6,C6 E2 .053w,10,147,0.00797
6,C6 E2 .053w,11,156,0.00797
6,C6 E2 .053w,12,165,0.00797
6,C6 E2 .053w,13,176,0.00797
6,C6 E2 .053w,14,186,0.00797
6,C6 E2 .053w,15,197,0.00797
6,C6 E2 .053w,16,419,0.00797
6,C6 E2 .053w,17,222,0.00797
6,C6 E2 .053w,18,470,0.00797
6,C6 E2 .053w,19,247,0.00797
